Ti,V,Nb,Mo,Hf,Ta,W,System Type,System Size,PROP ST (K),PROP LT (K),PROP RT Density (g/cm3),PROP RT Elec Resi (ohm m),PROP RT Heat Cap (J/(mol K)),PROP RT Therm Cond (W/(mK)),PROP RT Therm Diff (m2/s),EQ 25C MAX BCC,EQ 25C MAX any,EQ 700C MAX BCC,EQ 800C MAX BCC,EQ 900C MAX BCC,EQ 1000C MAX BCC,EQ 1000C THCD (W/mK),Melting Point (°C)_Avg,Melting Point (°C)_Var,Sconf,Solidification Range (K),EQ 25C MAX NON-BCC,VASP-PAW-GGA LSE_Avg,VASP-PAW-GGA LSE_Var,SGTE LSE_Avg,SGTE LSE_Var,Allen EN_Avg,Allen EN_Var,Pauling EN_Avg,Pauling EN_Var,Density_Avg,Density_Var,Atomic Weight_Avg,Atomic Weight_Var,Valence e_Avg,Valence e_Var,IE_Avg,IE_Var,Specific Heat_Avg,Specific Heat_Var,Metallic Radius_Avg,Metallic Radius_Var,Shear Modulus_Avg,Shear Modulus_Var,Total Electrons_Avg,Total Electrons_Var,Atomic Planar Density_Avg,Atomic Planar Density_Var,C_11_Avg,C_11_Var,C_12_Avg,C_12_Var,C'_Avg,C'_Var,Bulk Modulus (GPa)_Avg,Bulk Modulus (GPa)_Var,Pugh Ratio
0.05,0.025,0.625,0.025,0.0,0.2,0.075,5,6,2760.661143,2861.808076,10.78737976,2.83e-07,24.60701179,12.11856029,5.21e-06,0.950395762,0.950395762,1,1,1,1,17.63468969,2604.9,387.5985552,1.144140475,101.146933,0.0,-0.23375,1.225919425,-0.47875,1.486644187,0.144,0.432468496,1.64875,0.225800659,10.76275,4.224898216,114.1099,43.20416526,8.9,6.398437309,683.8325,49.35202826,2.53,7.594741602,14.175,42.56106642,56.0,34.27535558,48.5,16.01249512,1.450020841,4.365309926,9.275,30.92004811,19.225,65.04670918,-4.975,24.64268401,184.75,41.29088883,3.299107143
0.125,0.025,0.475,0.1,0.0,0.275,0.0,28,5,2757.182014,2832.083088,10.54640963,1.01e-08,24.70676856,10.62685498,4.52e-06,0.846321187,0.846321187,1,1,1,1,16.12910166,2524.8,412.1700013,1.291040564,74.90107399999988,0.0,-0.5615,1.901765693,-1.2025,2.16621646,0.35775,0.6202237,1.62175,0.184687405,10.38475,4.141018587,110.743525,45.95723882,8.825,6.284455028,686.075,47.07773757,6.295,10.91354548,35.625,61.74936741,55.7,25.09800789,47.075,17.26323767,3.582264031,6.223369585,26.375,48.04148598,50.05,100.6555885,-11.8375,36.14007255,176.5,31.90219428,3.168761221
0.05,0.0,0.625,0.05,0.025,0.175,0.075,8,6,2756.664893,2851.495182,10.8249927,3.48e-07,24.60462927,13.14422591,5.68e-06,0.925407442,0.925407442,1,1,1,1,18.91068391,2603.125,370.6448561,1.184837148,94.830289,0.0,-0.2185,1.239049131,-0.4825,1.494429239,0.1425,0.427736777,1.657,0.244808088,10.7815,4.075763456,115.1736,42.0224744,8.9,6.347440429,682.105,47.67287462,2.51,7.536637181,14.3,42.91864397,56.85,35.8765592,48.95,15.48539635,1.42149546,4.27188322,11.4,34.31821674,20.55,70.24918149,-4.575,22.84473408,184.25,43.29477451,3.240985048
0.05,0.025,0.65,0.1,0.0,0.125,0.05,5,6,2756.275642,2819.734609,10.06337942,3.34e-07,24.50708386,15.48129458,6.62e-06,0.924320169,0.924320169,1,1,1,1,21.56606642,2551.725,344.1079763,1.161992811,63.45896700000003,0.0,-0.14825,1.277892577,-0.7525,1.694769527,0.25425,0.552439533,1.67925,0.235397403,10.012,3.609678795,105.46155,37.02907812,7.55,5.421946145,675.1325,41.8675315,4.3375,9.424852452,24.6,53.44427004,56.75,34.65887332,45.35,13.77597546,2.575738972,5.605409061,17.15,39.68409631,42.625,100.4220313,-12.7375,35.68175085,183.5,38.11495769,3.233480176
0.15,0.0,0.45,0.05,0.0,0.325,0.025,17,5,2751.609467,2850.375229,10.98643974,3.1e-07,24.79021629,10.32654466,4.44e-06,0.851276911,0.851276911,1,1,1,1,15.45352051,2562.075,457.2699633,1.251182342,98.765762,0.0,-0.7695,2.006704948,-1.0825,2.212310726,0.2805,0.561270657,1.6055,0.184064527,10.934,4.593334736,117.19,49.40718174,9.825,6.800321684,693.055,50.82339004,5.12,10.2473216,29.0,58.02068597,56.15,26.5090079,49.425,18.52685551,2.763528872,5.535619257,23.7,47.52799175,30.45,73.55370487,-3.375,23.36283106,177.25,38.07804486,3.156723063
0.1,0.0,0.625,0.1,0.0,0.1,0.075,17,5,2751.448108,2810.136518,9.960610899,3.93e-07,24.51567238,17.17250717,7.34e-06,0.900501823,0.900501823,1,1,1,1,24.2918599,2535.575,400.3567714,1.178797834,58.68840999999975,0.0,-0.437,1.724819121,-0.965,2.000256234,0.285,0.570355153,1.697,0.258129812,9.935,3.891307621,104.33095,38.32228181,7.525,5.504486806,675.7225,42.17347797,5.02,10.04995522,28.6,57.22796519,59.125,38.21661124,44.875,14.32687597,2.842990919,5.6970759,22.8,45.77728694,41.1,95.0015263,-9.15,31.65284347,183.5,45.80120086,3.10359408
0.05,0.05,0.55,0.05,0.0,0.25,0.05,5,6,2750.195333,2858.765276,11.07019031,6.24e-09,24.64183074,10.66202001,4.51e-06,0.901519366,0.901519366,1,1,1,1,16.11362677,2597.75,390.9411561,1.274530395,108.569943,0.0,-0.192,1.249066051,-0.6575,1.62675098,0.219,0.521870674,1.6395,0.213833463,10.879,4.237559321,115.26575,45.18147208,9.25,6.502883976,687.105,49.88618521,3.755,8.944354365,21.0,50.03298912,56.75,31.4195401,48.85,16.82639296,2.229024976,5.323829604,12.4,34.26280782,33.5,87.11515368,-10.55,33.8455684,184.0,37.06750599,3.242290749
0.125,0.0,0.575,0.075,0.0,0.2,0.025,17,5,2750.022153,2814.931038,10.11137204,3.12e-07,24.64907808,11.98821178,5.17e-06,0.876116541,0.876116541,1,1,1,1,17.90151906,2518.45,402.9098503,1.186506311,64.90888500000028,0.0,-0.60325,1.878449344,-1.02375,2.109768574,0.28275,0.56583561,1.6335,0.198211377,10.0665,3.992393737,107.386575,42.44579872,8.125,5.937960508,680.08,44.94269796,5.07,10.14924135,28.8,57.62603578,54.175,28.59360724,45.925,15.905011,2.803259896,5.617068251,23.25,46.66302069,35.775,85.12387664,-6.2625,27.96783588,176.5,36.71171475,3.257960314
0.125,0.0,0.525,0.05,0.0,0.25,0.05,17,5,2749.744882,2843.52143,10.73501216,3.55e-07,24.69954297,11.14826939,4.79e-06,0.875742785,0.875742785,1,1,1,1,16.6871883,2565.425,438.871501,1.244364444,93.77654799999982,0.0,-0.63175,1.860345247,-0.9325,2.072816622,0.246,0.534395921,1.6335,0.215378156,10.69675,4.439044034,113.986025,46.48705072,9.175,6.557009608,687.6675,49.51998782,4.4675,9.707378315,25.325,55.00744836,56.75,31.3980493,48.325,17.37726604,2.428020519,5.280365001,20.625,44.91084919,27.975,72.86785557,-3.675,23.24019955,180.0,41.6533312,3.171806167
0.1,0.0,0.6,0.05,0.0,0.175,0.075,17,5,2744.569644,2834.049426,10.48518441,3.62e-07,24.6090333,13.01821,5.59e-06,0.900411055,0.900411055,1,1,1,1,19.27929389,2568.775,419.6404704,1.185830163,89.47978199999989,0.0,-0.494,1.690252644,-0.7825,1.911496469,0.2115,0.503738772,1.6615,0.239432141,10.4595,4.266019778,110.78205,43.13341223,8.525,6.236936347,682.28,47.57511009,3.815,9.088854438,21.65,51.55800132,57.35,35.6121819,47.225,16.07091706,2.092512166,4.989618905,17.55,41.90641359,25.5,72.09056804,-3.975,23.11302393,182.75,44.77652845,3.18657367
0.025,0.05,0.625,0.125,0.0,0.15,0.025,5,6,2744.205619,2815.726833,10.11555338,2.8e-07,24.5027606,14.34315063,6.11e-06,0.920136997,0.920136997,1,1,1,1,19.59919778,2551.3,309.2670529,1.172481045,71.52121400000033,0.0,0.03125,0.966706231,-0.78125,1.602329847,0.29475,0.589821954,1.674,0.223156895,10.028,3.4011132,105.542275,36.73868735,7.575,5.342693609,675.515,41.33919176,4.91,9.824657755,27.75,55.52555718,56.575,31.98115656,45.375,13.67605115,3.019234754,6.048954628,17.2,38.47739596,54.425,113.1591551,-18.6125,41.35478925,183.5,31.42849026,3.243482103
0.05,0.0,0.55,0.1,0.05,0.25,0.0,25,5,2743.085905,2831.978777,10.88341326,2.26e-07,24.69574786,11.22283196,4.9e-06,0.902394999,0.902394999,1,1,1,1,15.88787781,2573.95,318.3286784,1.205215677,88.8928719999999,0.0,-0.1615,1.273531605,-0.665,1.640129568,0.216,0.514445332,1.613,0.19588517,10.7865,3.69134701,117.24865,42.59055174,9.2,6.321392252,683.2,45.88647949,3.715,8.85100418,21.25,50.60620021,53.85,25.81525712,49.7,15.70063693,2.171974213,5.178467997,16.65,39.77093788,36.15,94.43319067,-9.75,31.35861126,177.5,29.81191037,3.296193129
0.1,0.025,0.525,0.05,0.0,0.3,0.0,28,5,2742.150201,2834.406297,10.71106346,7.88e-09,24.73773574,9.830097804,4.23e-06,0.88483785,0.88483785,1,1,1,1,14.79988642,2551.225,395.6283286,1.171746384,92.25609600000007,0.0,-0.48075,1.696140306,-0.87,1.95332409,0.24975,0.54280055,1.59275,0.13787653,10.607,4.168594008,113.9184,46.16645653,9.15,6.459682655,687.02,48.93591319,4.4375,9.642113033,25.0,54.32172678,52.225,20.68270715,48.3,17.26731016,2.496276924,5.437328821,18.05,41.81324551,31.975,80.63451107,-6.9625,29.30089322,175.75,27.91840791,3.365246529
0.05,0.05,0.575,0.1,0.0,0.2,0.025,5,6,2739.925218,2824.236231,10.44198304,7.06e-09,24.57799032,12.2332706,5.18e-06,0.891951393,0.891951393,1,1,1,1,17.55053154,2554.425,354.3742293,1.262137817,84.311013,0.0,-0.135,1.28210179,-0.84,1.743315806,0.2925,0.585490179,1.6535,0.212515294,10.2895,3.78796446,108.7424,41.19081773,8.225,5.879997874,680.3225,45.04268247,4.96,9.926751735,27.95,55.9387835,56.225,30.27415358,46.475,15.37528455,2.97950373,5.974833781,17.65,39.59075018,49.1,105.6772918,-15.725,39.3085471,182.0,32.72613634,3.23699422
0.175,0.0,0.475,0.075,0.0,0.275,0.0,58,4,2738.85826,2816.000831,10.26538699,2.37e-07,24.75803422,10.81430767,4.66e-06,0.827143899,0.827143899,1,1,1,1,16.25139205,2494.875,442.7226664,1.207919541,77.14257099999986,0.0,-0.87875,2.153668019,-1.32375,2.355180128,0.35175,0.609597767,1.604,0.163963411,10.202,4.288176885,109.464575,47.04495922,8.75,6.331469024,685.635,47.14133298,6.375,11.05132911,36.15,62.64046216,53.725,22.96953145,46.55,17.72138539,3.474276602,6.028631044,29.4,51.08903992,40.725,85.77557563,-5.6625,28.2233032,172.25,33.79996302,3.206142392
0.05,0.0,0.55,0.1,0.05,0.225,0.025,8,6,2737.960491,2834.767681,10.94058168,3.36e-07,24.66641722,11.9471588,5.19e-06,0.901609027,0.901609027,1,1,1,1,16.90216322,2584.075,338.0872955,1.286486421,96.80718999999999,0.0,-0.1615,1.273531605,-0.665,1.640129568,0.216,0.514445332,1.6345,0.227023677,10.8515,3.814848981,117.3209,42.70086094,9.225,6.361947422,683.425,46.2877238,3.715,8.85100418,21.25,50.60620021,56.15,30.69898207,49.725,15.738468,2.171974213,5.178467997,16.65,39.77093788,36.15,94.43319067,-9.75,31.35861126,180.25,36.15850522,3.21015138
0.125,0.025,0.45,0.05,0.0,0.35,0.0,28,5,2737.734234,2842.896626,11.00119353,9.06e-09,24.79946894,9.800005297,4.21e-06,0.867369324,0.867369324,1,1,1,1,14.66511506,2558.0,431.7547336,1.228705,105.1623920000002,0.0,-0.6185,1.866674248,-1.02,2.105225641,0.28425,0.569051349,1.58625,0.139511424,10.90925,4.442172547,117.194625,49.20594926,9.825,6.744951816,692.6325,50.6490789,5.09,10.18743834,28.675,57.39180582,53.925,20.626909,49.425,18.4579082,2.831785277,5.681511201,21.125,44.78961236,34.45,81.13290023,-6.6625,29.43178288,175.75,30.23966766,3.259156236
0.025,0.0,0.625,0.1,0.05,0.175,0.025,8,6,2737.542347,2821.375781,10.63352255,3.06e-07,24.60459212,13.11659163,5.72e-06,0.926262933,0.926262933,1,1,1,1,18.4488962,2577.3,291.1459428,1.163260992,83.83343400000012,0.0,-0.02375,0.942548905,-0.515,1.402506684,0.1815,0.480372512,1.641,0.224630808,10.54925,3.487469274,114.044675,39.17023361,8.55,5.991452245,677.8125,43.22723209,3.0625,8.107548566,17.575,46.51284097,54.45,30.85931788,48.6,14.34712515,1.83646586,4.864027316,13.575,36.00617135,33.675,94.05008971,-10.05,31.20612921,180.25,34.2408747,3.310376492
0.05,0.075,0.475,0.1,0.0,0.3,0.0,28,5,2736.65405,2840.100842,11.17403627,8.89e-09,24.67085725,9.440230711,3.91e-06,0.845233154,0.845233154,1,1,1,1,15.29723339,2570.625,371.0548266,1.289116227,103.4467919999997,0.0,-0.12175,1.286160735,-0.9275,1.786265308,0.33075,0.614395587,1.62525,0.184309353,10.769,4.037093509,114.22435,45.88547919,9.25,6.394333429,688.235,48.55987309,5.5825,10.36715698,31.3,58.13398318,56.475,25.0449471,48.4,17.17236151,3.383268488,6.296873409,18.15,39.49085337,55.575,110.3038729,-18.7125,42.41799257,181.25,26.28569002,3.209384683
0.0,0.025,0.6,0.075,0.05,0.225,0.025,3,6,2735.610505,2841.754574,11.1813815,5.5e-09,24.63854452,10.93174763,4.7e-06,0.923632862,0.923632862,1,1,1,1,16.35846268,2606.7,289.3549032,1.170618345,106.1440689999999,0.0,0.09875,0.307800158,-0.36125,1.083944619,0.1485,0.445575751,1.62425,0.210105777,10.95275,3.652045993,118.44765,41.34540108,9.25,6.339361167,682.255,46.75848025,2.43,7.290822999,13.775,41.33067112,54.025,29.10626007,50.2,15.13968296,1.529482889,4.591107937,8.375,27.68996885,29.875,89.91834838,-10.75,32.32433294,181.5,31.82373328,3.359555761
0.05,0.05,0.575,0.025,0.0,0.275,0.025,5,6,2734.988033,2846.478685,10.91641518,5.52e-09,24.68452474,9.8483279,4.21e-06,0.915247288,0.915247288,1,1,1,1,14.93037009,2583.975,374.7043826,1.157234362,111.490652,0.0,-0.2205,1.231226929,-0.56625,1.557216567,0.18225,0.482775763,1.604,0.15886787,10.77325,4.141045392,115.1174,45.10892085,9.2,6.477653896,686.075,49.82699946,3.1525,8.345237789,17.525,46.41281477,52.4,24.67974878,48.8,16.80059523,1.853785599,4.923719056,9.775,30.92772825,25.7,74.94804867,-7.9625,30.42396003,179.75,30.28923076,3.430343511
0.075,0.05,0.525,0.1,0.0,0.225,0.025,5,6,2733.394933,2824.853537,10.5813633,8.8e-09,24.61774909,11.59695389,4.89e-06,0.863869566,0.863869566,1,1,1,1,17.1107921,2547.7,387.594195,1.340446928,91.45860399999992,0.0,-0.27275,1.53186812,-0.99,1.914327558,0.327,0.607483333,1.6495,0.214277274,10.38975,4.005015286,109.817525,43.65755134,8.55,6.10716792,683.2125,46.42162851,5.6125,10.42459082,31.625,58.74039815,57.15,30.11440685,46.8,16.35114675,3.315012083,6.171661873,20.725,42.75101607,51.575,105.6576754,-15.425,39.47286251,181.25,34.65454516,3.171478565
0.0,0.075,0.65,0.075,0.0,0.1,0.1,16,5,2732.770834,2836.247995,10.45889286,3.41e-07,24.44470898,18.0352627,7.61e-06,0.91113395,0.91113395,1,1,1,1,23.56138657,2593.925,361.2498019,1.129065989,103.4771610000003,0.0,0.12525,0.320702257,-0.53625,1.276860775,0.225,0.535733143,1.71025,0.264938554,10.38375,3.911307766,107.8848,38.86486359,7.975,5.772726825,677.105,45.03979324,3.675,8.74962142,20.475,48.74986538,60.225,40.31655212,46.225,14.43517838,2.337012405,5.567588474,9.375,27.73056752,42.825,102.4592327,-16.725,39.93384373,190.75,43.55384598,3.167289332
0.175,0.0,0.425,0.05,0.0,0.35,0.0,58,4,2729.192338,2830.800343,10.83036524,2.31e-07,24.83728937,10.12655236,4.37e-06,0.826886294,0.826886294,1,1,1,1,15.16554383,2531.725,463.3197054,1.185902082,101.608005,0.0,-0.90725,2.134219983,-1.2325,2.333895617,0.315,0.584884604,1.5825,0.139655827,10.76725,4.588467602,115.991775,50.35484965,9.775,6.784126694,692.9975,50.37673812,5.7725,10.72056406,32.675,60.66275113,54.0,20.56331685,48.925,18.94252821,3.099037225,5.760101983,26.775,49.81891584,32.925,74.15065323,-3.075,23.48098965,173.0,33.40658618,3.203703704
0.1,0.0,0.45,0.1,0.05,0.3,0.0,25,5,2726.996369,2833.122309,11.09148746,2.41e-07,24.77567266,11.03137726,4.79e-06,0.853007479,0.853007479,1,1,1,1,15.65054039,2560.5,388.669847,1.330823937,106.1259399999999,0.0,-0.437,1.724819121,-0.965,2.000256234,0.285,0.570355153,1.605,0.197977271,10.987,4.097510342,119.3989,46.83651171,9.85,6.627782435,688.98,48.04008326,5.02,10.04995522,28.6,57.22796519,55.7,25.5775292,50.35,17.43638437,2.842990919,5.6970759,22.8,45.77728694,41.1,95.0015263,-9.15,31.65284347,176.0,33.67491648,3.15978456
0.075,0.0,0.625,0.1,0.025,0.125,0.05,8,6,2726.849573,2802.018828,10.14686461,3.63e-07,24.55804099,15.33670363,6.62e-06,0.900736854,0.900736854,1,1,1,1,21.7387459,2539.575,360.4049034,1.220219608,75.16925500000025,0.0,-0.29925,1.522306453,-0.815,1.835217971,0.2505,0.544214801,1.6695,0.243268884,10.09025,3.690868114,107.524275,38.79309707,7.85,5.659284407,675.49,41.69417705,4.3675,9.491927821,24.925,54.14350723,56.475,34.81306328,46.1,14.40971894,2.507482566,5.454279802,19.725,42.98952634,38.625,94.75011544,-9.45,31.50749911,180.75,41.19390125,3.200531208
0.05,0.0,0.675,0.05,0.025,0.1,0.1,8,6,2724.877878,2823.154447,10.49232997,6.23e-09,24.53206816,17.32974426,7.46e-06,0.922219298,0.922219298,1,1,1,1,24.43422806,2586.25,376.5702956,1.117615979,98.27656900000011,0.0,-0.2185,1.239049131,-0.4825,1.494429239,0.1425,0.427736777,1.6835,0.264381826,10.4425,3.993920849,110.84365,39.56411178,8.225,6.002030906,676.885,44.90853232,2.51,7.536637181,14.3,42.91864397,57.6,39.55300241,47.375,14.58713046,1.42149546,4.27188322,11.4,34.31821674,20.55,70.24918149,-4.575,22.84473408,185.5,47.53682783,3.220486111
0.05,0.05,0.6,0.05,0.0,0.225,0.025,5,6,2724.86215,2824.225304,10.61592581,6.62e-09,24.62696374,10.78122161,4.57e-06,0.893155562,0.893155562,1,1,1,1,16.33155586,2560.625,361.6722057,1.183699549,99.36315400000012,0.0,-0.192,1.249066051,-0.6575,1.62675098,0.219,0.521870674,1.623,0.179069819,10.41,3.926712365,110.7913,42.67225593,8.525,6.115502841,681.435,47.00477396,3.755,8.944354365,21.0,50.03298912,52.9,26.72994575,47.225,15.91145421,2.229024976,5.323829604,12.4,34.26280782,33.5,87.11515368,-10.55,33.8455684,179.75,31.02317682,3.397920605
0.05,0.075,0.5,0.05,0.0,0.25,0.075,5,6,2723.006976,2860.728528,11.17503748,3.69e-07,24.63356527,11.96390019,5.06e-06,0.88593555,0.88593555,1,1,1,1,16.7504203,2607.2,425.2368281,1.381260483,137.721552,0.0,-0.17875,1.253834494,-0.745,1.682215801,0.25725,0.559155558,1.65925,0.241323305,11.0845,4.468616089,116.49,47.28496616,9.625,6.677153211,690.0225,51.21925169,4.3775,9.509954981,24.35,52.91764828,60.05,35.11121616,49.225,17.6755304,2.632789735,5.735954272,12.9,34.22411431,39.975,93.75672976,-13.5375,37.82284156,187.25,42.01115923,3.118234804
